,Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
16,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),AGLIARI Elena,F,"ROMA ""La Sapienza""",,MAT/07,01/A4,MATEMATICA,2017,01 - Scienze matematiche e informatiche
17,Ordinario,AGNETIS Alessandro,M,SIENA,,MAT/09,01/A6,Ingegneria dellInformazione e Scienze Matematiche,2017,01 - Scienze matematiche e informatiche
18,Associato confermato,AGOSTINI Alessandra,F,MILANO-BICOCCA,,INF/01,01/B1,"INFORMATICA, SISTEMISTICA E COMUNICAZIONE",2017,01 - Scienze matematiche e informatiche
19,Ordinario,AGRACHEV Andrey,M,SISSA - TRIESTE,Classe di Fisica e Classe di Matematica,MAT/05,01/A3,AREA MATEMATICA,2017,01 - Scienze matematiche e informatiche
20,Ricercatore a t.d. (art.1 comma 14 L. 230/05),AGRESTE Santa,F,MESSINA,,INF/01,01/B1,"SCIENZE MATEMATICHE ED INFORMATICHE, SCIENZE FISICHE E SCIENZE DELLA TERRA",2017,01 - Scienze matematiche e informatiche
21,Associato,AGUGLIA Angela,F,Politecnico di BARI,,MAT/03,01/A2,"Dipartimento di Meccanica, Matematica e Management",2017,01 - Scienze matematiche e informatiche
22,Associato,AGUZZOLI Stefano,M,MILANO,,INF/01,01/B1,Informatica 'Giovanni Degli Antoni',2017,01 - Scienze matematiche e informatiche
23,Associato,AIMI Alessandra,F,PARMA,,MAT/08,01/A5,"Scienze Matematiche, Fisiche e Informatiche",2017,01 - Scienze matematiche e informatiche
24,Ricercatore,AIOLLI Fabio,M,PADOVA,,INF/01,01/B1,"MATEMATICA ""TULLIO LEVI-CIVITA"" - DM",2017,01 - Scienze matematiche e informatiche
25,Associato confermato,ALBANESE Angela Anna,F,SALENTO,,MAT/05,01/A3,Matematica e Fisica Ennio De Giorgi,2017,01 - Scienze matematiche e informatiche
26,Associato confermato,ALBANO Alberto,M,TORINO,,MAT/03,01/A2,Matematica Giuseppe Peano,2017,01 - Scienze matematiche e informatiche
27,Associato,ALBANO Giovannina,F,SALERNO,,MAT/04,01/A1,Ingegneria dell'Informazione ed Elettrica e Matematica applicata,2017,01 - Scienze matematiche e informatiche
28,Associato,ALBANO Paolo,M,BOLOGNA,,MAT/05,01/A3,Matematica,2017,01 - Scienze matematiche e informatiche
29,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ALBARELLI Andrea,M,"""Ca' Foscari"" VENEZIA",,INF/01,01/B1,"SCIENZE AMBIENTALI, INFORMATICA E STATISTICA",2017,01 - Scienze matematiche e informatiche
30,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ALBERTI Giovanni,M,GENOVA,,MAT/05,01/A3,MATEMATICA (DIMA),2017,01 - Scienze matematiche e informatiche
31,Ordinario,ALBERTI Giovanni,M,PISA,,MAT/05,01/A3,MATEMATICA,2017,01 - Scienze matematiche e informatiche
32,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ALBERTI Marco,M,FERRARA,,INF/01,01/B1,MATEMATICA E INFORMATICA,2017,01 - Scienze matematiche e informatiche
33,Associato confermato,ALBERTI Maria Alberta,F,MILANO,,INF/01,01/B1,Informatica 'Giovanni Degli Antoni',2017,01 - Scienze matematiche e informatiche
34,Associato,ALBERTINI Francesca,F,PADOVA,,MAT/05,01/A3,TECNICA E GESTIONE DEI SISTEMI INDUSTRIALI - DTG,2017,01 - Scienze matematiche e informatiche
35,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ALBI Giacomo,M,VERONA,,MAT/08,01/A5,INFORMATICA,2017,01 - Scienze matematiche e informatiche
36,Associato,ALDINI Alessandro,M,Urbino Carlo Bo,,INF/01,01/B1,Scienze Pure e Applicate (DiSPeA),2017,01 - Scienze matematiche e informatiche
37,Associato,ALDINUCCI Marco,M,TORINO,,INF/01,01/B1,Informatica,2017,01 - Scienze matematiche e informatiche
38,Ordinario,ALESSANDRINI Giovanni,M,TRIESTE,,MAT/05,01/A3,Matematica e Geoscienze,2017,01 - Scienze matematiche e informatiche
39,Ordinario,ALESSANDRINI Lucia,F,PARMA,,MAT/03,01/A2,"Scienze Matematiche, Fisiche e Informatiche",2017,01 - Scienze matematiche e informatiche
40,Associato confermato,ALESSI Fabio,M,UDINE,,INF/01,01/B1,"Scienze Matematiche, Informatiche e Fisiche",2017,01 - Scienze matematiche e informatiche
41,Associato,ALESSIO Francesca Gemma,F,Politecnica delle MARCHE,,MAT/05,01/A3,INGEGNERIA INDUSTRIALE E SCIENZE MATEMATICHE,2017,01 - Scienze matematiche e informatiche
42,Associato confermato,ALETTI Giacomo,M,MILANO,,MAT/06,01/A3,Scienze e politiche ambientali,2017,01 - Scienze matematiche e informatiche
43,Ricercatore,ALFIERI Roberto,M,PARMA,,INF/01,01/B1,"Scienze Matematiche, Fisiche e Informatiche",2017,01 - Scienze matematiche e informatiche
44,Associato,ALI' Giuseppe,M,della CALABRIA,,MAT/07,01/A4,Fisica,2017,01 - Scienze matematiche e informatiche
45,Associato,ALICANDRO Roberto,M,CASSINO e LAZIO MERIDIONALE,,MAT/05,01/A3,"Ingegneria Elettrica e dell'Informazione ""Maurizio Scarano""",2017,01 - Scienze matematiche e informatiche
46,Ricercatore,ALIFFI Davide,M,BOLOGNA,,MAT/03,01/A2,Matematica,2017,01 - Scienze matematiche e informatiche
47,Associato,ALONSO RODRIGUEZ Ana Maria,F,TRENTO,,MAT/08,01/A5,Matematica,2017,01 - Scienze matematiche e informatiche
48,Ordinario,ALTOMARE Francesco,M,BARI,,MAT/05,01/A3,Matematica,2017,01 - Scienze matematiche e informatiche
49,Associato,ALVIANO Mario,M,della CALABRIA,,INF/01,01/B1,Matematica e Informatica - DeMaCS,2017,01 - Scienze matematiche e informatiche
50,Ordinario,ALVINO Angelo,M,Napoli Federico II,,MAT/05,01/A3,"Matematica e Applicazioni ""Renato Caccioppoli""",2017,01 - Scienze matematiche e informatiche
51,Associato confermato,ALZATI Alberto,M,MILANO,,MAT/03,01/A2,Matematica 'Federigo Enriques',2017,01 - Scienze matematiche e informatiche
52,Ricercatore,AMADORI Anna Lisa,F,"""Parthenope"" di NAPOLI",,MAT/05,01/A3,SCIENZE E TECNOLOGIE,2017,01 - Scienze matematiche e informatiche
53,Associato,AMADORI Debora,F,L'AQUILA,,MAT/05,01/A3,Ingegneria e scienze dell'informazione e matematica,2017,01 - Scienze matematiche e informatiche
54,Ordinario,AMALDI Edoardo,M,Politecnico di MILANO,,MAT/09,01/A6,"Elettronica, Informazione e Bioingegneria",2017,01 - Scienze matematiche e informatiche
55,Associato confermato,AMAR Micol,F,"ROMA ""La Sapienza""",,MAT/05,01/A3,Scienze di base e applicate per l'ingegneria,2017,01 - Scienze matematiche e informatiche
56,Associato,AMATO Gianluca,M,CHIETI-PESCARA,,MAT/01,01/A1,Economia aziendale,2017,01 - Scienze matematiche e informatiche
57,Ricercatore,AMATO Roberto,M,MESSINA,,MAT/05,01/A3,Ingegneria,2017,01 - Scienze matematiche e informatiche
58,Ordinario,AMBRIOLA Vincenzo,M,PISA,,INF/01,01/B1,INFORMATICA,2017,01 - Scienze matematiche e informatiche
59,Ricercatore,AMBROGIO Elisabetta,F,TORINO,,MAT/03,01/A2,Matematica Giuseppe Peano,2017,01 - Scienze matematiche e informatiche
60,Ordinario,AMBROSI Davide Carlo,M,Politecnico di MILANO,,MAT/07,01/A4,Matematica,2017,01 - Scienze matematiche e informatiche
61,Associato,AMBROSINO Daniela,F,GENOVA,,MAT/09,01/A6,Economia,2017,01 - Scienze matematiche e informatiche
62,Ordinario,AMBROSIO Luigi,M,Scuola Normale Superiore di PISA,Classe di Scienze Mat. e Nat.,MAT/05,01/A3,CLASSE DI SCIENZE MATEMATICHE E NATURALI,2017,01 - Scienze matematiche e informatiche
63,Associato,AMENDOLA Gennaro,M,"Univ. Telematica ""E-CAMPUS""",Ingegneria,MAT/03,01/A2,DIPARTIMENTO E-CAMPUS,2017,01 - Scienze matematiche e informatiche
64,Associato confermato,AMICI Oriella Maria,F,BARI,,MAT/03,01/A2,Matematica,2017,01 - Scienze matematiche e informatiche
65,Ricercatore,AMODDEO Antonino,M,Mediterranea di REGGIO CALABRIA,,MAT/07,01/A4,"Ingegneria Civile, dell'Energia, dell'Ambiente e dei Materiali",2017,01 - Scienze matematiche e informatiche
66,Associato confermato,AMODIO Pierluigi,M,BARI,,MAT/08,01/A5,Matematica,2017,01 - Scienze matematiche e informatiche
67,Associato confermato,AMOROSO Alessandro,M,BOLOGNA,,INF/01,01/B1,Informatica - Scienza e Ingegneria,2017,01 - Scienze matematiche e informatiche
68,Ricercatore,ANATRIELLO Giuseppina,F,Napoli Federico II,,MAT/05,01/A3,Architettura,2017,01 - Scienze matematiche e informatiche
69,Associato,ANCONA Davide,M,GENOVA,,INF/01,01/B1,"Informatica, bioingegneria,robotica e ingegneria dei sistemi (DIBRIS)",2017,01 - Scienze matematiche e informatiche
70,Ordinario,ANCONA Fabio,M,PADOVA,,MAT/05,01/A3,"MATEMATICA ""TULLIO LEVI-CIVITA"" - DM",2017,01 - Scienze matematiche e informatiche
71,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ANDRA' Chiara,F,Politecnico di MILANO,,MAT/04,01/A1,MATEMATICA,2017,01 - Scienze matematiche e informatiche
72,Ordinario,ANDREATTA Fabrizio,M,MILANO,,MAT/02,01/A2,Matematica 'Federigo Enriques',2017,01 - Scienze matematiche e informatiche
73,Ordinario,ANDREATTA Giovanni,M,PADOVA,,MAT/09,01/A6,"MATEMATICA ""TULLIO LEVI-CIVITA"" - DM",2017,01 - Scienze matematiche e informatiche
74,Ordinario,ANDREATTA Marco,M,TRENTO,,MAT/03,01/A2,Matematica,2017,01 - Scienze matematiche e informatiche
75,Ricercatore,ANDREOLINI Mauro,M,MODENA e REGGIO EMILIA,,INF/01,01/B1,"Scienze fisiche, informatiche e matematiche",2017,01 - Scienze matematiche e informatiche
76,Ordinario,ANDRETTA Alessandro,M,TORINO,,MAT/01,01/A1,Matematica Giuseppe Peano,2017,01 - Scienze matematiche e informatiche
77,Ordinario,ANDREUCCI Daniele,M,"ROMA ""La Sapienza""",,MAT/07,01/A4,Scienze di base e applicate per l'ingegneria,2017,01 - Scienze matematiche e informatiche
78,Ricercatore,ANEDDA Claudia,F,CAGLIARI,,MAT/05,01/A3,Matematica e Informatica,2017,01 - Scienze matematiche e informatiche
79,Associato confermato,ANELLO Giovanni,M,MESSINA,,MAT/05,01/A3,"Scienze Matematiche ed Informatiche, Scienze Fisiche e Scienze della Terra",2017,01 - Scienze matematiche e informatiche
80,Ordinario,ANGELERI Lidia,F,VERONA,,MAT/02,01/A2,Informatica,2017,01 - Scienze matematiche e informatiche
81,Associato,ANGELLA Daniele,M,FIRENZE,,MAT/03,01/A2,Matematica e Informatica Ulisse Dini(DIMAI),2017,01 - Scienze matematiche e informatiche
82,Ricercatore,ANGELONI Laura,F,PERUGIA,,MAT/05,01/A3,MATEMATICA E INFORMATICA,2017,01 - Scienze matematiche e informatiche
83,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ANGIULI Luciana,F,SALENTO,,MAT/05,01/A3,MATEMATICA E FISICA ENNIO DE GIORGI,2017,01 - Scienze matematiche e informatiche
84,Associato confermato,ANGLANO Cosimo Filomeno,M,PIEMONTE ORIENTALE,,INF/01,01/B1,Scienze e Innovazione Tecnologica (DISIT),2017,01 - Scienze matematiche e informatiche
85,Ordinario,ANICHINI Giuseppe,M,FIRENZE,,MAT/05,01/A3,Matematica e Informatica Ulisse Dini(DIMAI),2017,01 - Scienze matematiche e informatiche
86,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ANISETTI Marco,M,MILANO,,INF/01,01/B1,INFORMATICA 'GIOVANNI DEGLI ANTONI',2017,01 - Scienze matematiche e informatiche
87,Ricercatore,ANNUNZIATO Mario,M,SALERNO,,MAT/08,01/A5,Matematica,2017,01 - Scienze matematiche e informatiche
88,Ricercatore,ANSELMA Luca,M,TORINO,,INF/01,01/B1,Informatica,2017,01 - Scienze matematiche e informatiche
89,Associato confermato,ANSELMO Marcella,F,SALERNO,,INF/01,01/B1,Informatica,2017,01 - Scienze matematiche e informatiche
90,Ricercatore,ANSINI Nadia,F,"ROMA ""La Sapienza""",,MAT/05,01/A3,Matematica,2017,01 - Scienze matematiche e informatiche
91,Ricercatore,ANTONACCI Flavia,F,CHIETI-PESCARA,,MAT/05,01/A3,Economia,2017,01 - Scienze matematiche e informatiche
92,Associato confermato,ANTONELLI Fabio,M,L'AQUILA,,MAT/06,01/A3,Ingegneria e scienze dell'informazione e matematica,2017,01 - Scienze matematiche e informatiche
93,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ANTONELLI Paolo,M,Gran Sasso Science Institute,,MAT/05,01/A3,AREA DI MATEMATICA,2017,01 - Scienze matematiche e informatiche
94,Associato,ANTONIETTI Paola Francesca,F,Politecnico di MILANO,,MAT/08,01/A5,Matematica,2017,01 - Scienze matematiche e informatiche
95,Associato,ANTONINI Samuele,M,PAVIA,,MAT/04,01/A1,MATEMATICA,2017,01 - Scienze matematiche e informatiche
96,Associato confermato,ANTONIOTTI Marco,M,MILANO-BICOCCA,,INF/01,01/B1,"INFORMATICA, SISTEMISTICA E COMUNICAZIONE",2017,01 - Scienze matematiche e informatiche
97,Ordinario,ANZELLOTTI Gabriele,M,TRENTO,,MAT/05,01/A3,Matematica,2017,01 - Scienze matematiche e informatiche
98,Ordinario,ARBIB Claudio,M,L'AQUILA,,MAT/09,01/A6,Ingegneria e scienze dell'informazione e matematica,2017,01 - Scienze matematiche e informatiche
99,Associato,ARCHETTI Claudia,F,BRESCIA,,MAT/09,01/A6,ECONOMIA E MANAGEMENT,2017,01 - Scienze matematiche e informatiche
100,Ordinario,ARCOZZI Nicola,M,BOLOGNA,,MAT/05,01/A3,Matematica,2017,01 - Scienze matematiche e informatiche
101,Associato,ARDAGNA Claudio Agostino,M,MILANO,,INF/01,01/B1,Informatica 'Giovanni Degli Antoni',2017,01 - Scienze matematiche e informatiche
102,Associato confermato,ARDISSONO Liliana,F,TORINO,,INF/01,01/B1,Informatica,2017,01 - Scienze matematiche e informatiche
103,Ricercatore,ARDITO Carmelo Antonio,M,BARI,,INF/01,01/B1,Informatica,2017,01 - Scienze matematiche e informatiche
104,Ricercatore,ARDIZZONE Lucia,F,PALERMO,,MAT/05,01/A3,"Energia, Ingegneria dell'Informazione e Modelli Matematici (DEIM)",2017,01 - Scienze matematiche e informatiche
105,Associato,ARDIZZONI Alessandro,M,TORINO,,MAT/02,01/A2,Matematica Giuseppe Peano,2017,01 - Scienze matematiche e informatiche
106,Ordinario,AREZZO Claudio,M,PARMA,,MAT/03,01/A2,"Scienze Matematiche, Fisiche e Informatiche",2017,01 - Scienze matematiche e informatiche
107,Ricercatore,ARINGHIERI Roberto,M,TORINO,,INF/01,01/B1,Informatica,2017,01 - Scienze matematiche e informatiche
108,Ordinario,ARIOLI Gianni,M,Politecnico di MILANO,,MAT/05,01/A3,Matematica,2017,01 - Scienze matematiche e informatiche
109,Ordinario,AROSIO Alberto Giorgio,M,PARMA,,MAT/05,01/A3,"Scienze Matematiche, Fisiche e Informatiche",2017,01 - Scienze matematiche e informatiche
110,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),AROSIO Leandro,M,"ROMA ""Tor Vergata""",,MAT/03,01/A2,MATEMATICA,2017,01 - Scienze matematiche e informatiche
111,Associato,ARTALE Alessandro,M,Libera Università di BOLZANO,Scienze e Tecnologie Informatiche,INF/01,01/B1,FACOLTA' DI INGEGNERIA,2017,01 - Scienze matematiche e informatiche
112,Associato confermato,ARTALE Maria,F,"ROMA ""Tor Vergata""",,MAT/02,01/A2,Matematica,2017,01 - Scienze matematiche e informatiche
113,Ordinario,ARUFFO Ada,F,GENOVA,,MAT/05,01/A3,Matematica (DIMA),2017,01 - Scienze matematiche e informatiche
114,Ricercatore,ASCANELLI Alessia,F,FERRARA,,MAT/05,01/A3,Matematica e informatica,2017,01 - Scienze matematiche e informatiche
115,Ricercatore,ASCENZI Oscar,M,FERRARA,,MAT/05,01/A3,Matematica e informatica,2017,01 - Scienze matematiche e informatiche
116,Ricercatore,ASCI Claudio,M,TRIESTE,,MAT/06,01/A3,Matematica e Geoscienze,2017,01 - Scienze matematiche e informatiche
117,Ricercatore,ASCOLI Davide,M,TORINO,,MAT/05,01/A3,Matematica Giuseppe Peano,2017,01 - Scienze matematiche e informatiche
118,Ordinario,ASPERTI Andrea,M,BOLOGNA,,INF/01,01/B1,Informatica - Scienza e Ingegneria,2017,01 - Scienze matematiche e informatiche
119,Associato confermato,ASTENGO Francesca,F,GENOVA,,MAT/05,01/A3,Matematica (DIMA),2017,01 - Scienze matematiche e informatiche
120,Ordinario,ATTARDI Giuseppe,M,PISA,,INF/01,01/B1,INFORMATICA,2017,01 - Scienze matematiche e informatiche
121,Ricercatore,ATZORI Maurizio,M,CAGLIARI,,INF/01,01/B1,Matematica e Informatica,2017,01 - Scienze matematiche e informatiche
122,Ordinario,AULETTA Vincenzo,M,SALERNO,,INF/01,01/B1,Ingegneria dell'Informazione ed Elettrica e Matematica applicata,2017,01 - Scienze matematiche e informatiche
123,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),AUTILI Marco,M,L'AQUILA,,INF/01,01/B1,INGEGNERIA E SCIENZE DELL'INFORMAZIONE E MATEMATICA,2017,01 - Scienze matematiche e informatiche
124,Associato confermato,AVALLONE Anna,F,BASILICATA,,MAT/05,01/A3,"Matematica, Informatica ed Economia",2017,01 - Scienze matematiche e informatiche
125,Ordinario,AVELLA Pasquale,M,SANNIO di BENEVENTO,,MAT/09,01/A6,Ingegneria,2017,01 - Scienze matematiche e informatiche
126,Associato confermato,AVELLONE Alessandro,M,MILANO-BICOCCA,,INF/01,01/B1,STATISTICA E METODI QUANTITATIVI,2017,01 - Scienze matematiche e informatiche
127,Associato confermato,AVERNA Diego,M,PALERMO,,MAT/05,01/A3,Matematica e Informatica,2017,01 - Scienze matematiche e informatiche
128,Ricercatore,AVITABILE Marina,F,MILANO-BICOCCA,,MAT/02,01/A2,MATEMATICA E APPLICAZIONI,2017,01 - Scienze matematiche e informatiche
129,Associato,AYUSO DE DIOS Blanca Pilar,F,BOLOGNA,,MAT/08,01/A5,Matematica,2017,01 - Scienze matematiche e informatiche
130,Associato,AZZOLLINI Antonio,M,BASILICATA,,MAT/05,01/A3,"Matematica, Informatica ed Economia",2017,01 - Scienze matematiche e informatiche
131,Ordinario,BABAOGLU Ozalp,M,BOLOGNA,,INF/01,01/B1,Informatica - Scienza e Ingegneria,2017,01 - Scienze matematiche e informatiche
132,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),BACCAGLINI-FRANK Anna Ethelwyn,F,PISA,,MAT/04,01/A1,MATEMATICA,2017,01 - Scienze matematiche e informatiche
133,Ricercatore,BACCHELLI Barbara,F,MILANO-BICOCCA,,MAT/05,01/A3,MATEMATICA E APPLICAZIONI,2017,01 - Scienze matematiche e informatiche
134,Associato confermato,BACCHELLI Valeria,F,Politecnico di MILANO,,MAT/05,01/A3,Matematica,2017,01 - Scienze matematiche e informatiche
135,Ordinario,BACCIOTTI Andrea,M,Politecnico di TORINO,,MAT/05,01/A3,SCIENZE MATEMATICHE Giuseppe Luigi Lagrange,2017,01 - Scienze matematiche e informatiche
136,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),BACCIU Davide,M,PISA,,INF/01,01/B1,INFORMATICA,2017,01 - Scienze matematiche e informatiche
137,Ordinario,BADIALE Marino,M,TORINO,,MAT/05,01/A3,Matematica Giuseppe Peano,2017,01 - Scienze matematiche e informatiche
138,Ricercatore,BAGAGIOLO Fabio,M,TRENTO,,MAT/05,01/A3,Matematica,2017,01 - Scienze matematiche e informatiche
139,Ordinario,BAGARELLO Fabio,M,PALERMO,,MAT/07,01/A4,"Energia, Ingegneria dell'Informazione e Modelli Matematici (DEIM)",2017,01 - Scienze matematiche e informatiche
140,Ordinario,BAGNARA Roberto,M,PARMA,,INF/01,01/B1,"Scienze Matematiche, Fisiche e Informatiche",2017,01 - Scienze matematiche e informatiche
141,Associato,BAGNERINI Patrizia,F,GENOVA,,MAT/08,01/A5,"Ingegneria meccanica,energetica,gestionale e dei trasporti (DIME)",2017,01 - Scienze matematiche e informatiche
142,Ordinario,BAIARDI Fabrizio Emilio,M,PISA,,INF/01,01/B1,"FILOLOGIA, LETTERATURA E LINGUISTICA",2017,01 - Scienze matematiche e informatiche
143,Ricercatore,BAIOLETTI Marco,M,PERUGIA,,INF/01,01/B1,MATEMATICA E INFORMATICA,2017,01 - Scienze matematiche e informatiche
144,Ricercatore,BAITI Paolo,M,UDINE,,MAT/05,01/A3,"Scienze Matematiche, Informatiche e Fisiche",2017,01 - Scienze matematiche e informatiche
145,Associato,BALDACCI Roberto,M,BOLOGNA,,MAT/09,01/A6,"Ingegneria dell'Energia Elettrica e dell'Informazione ""Guglielmo Marconi""",2017,01 - Scienze matematiche e informatiche
146,Associato confermato,BALDAN Paolo,M,PADOVA,,INF/01,01/B1,"MATEMATICA ""TULLIO LEVI-CIVITA"" - DM",2017,01 - Scienze matematiche e informatiche
147,Ordinario,BALDASSARRI Francesco,M,PADOVA,,MAT/03,01/A2,"MATEMATICA ""TULLIO LEVI-CIVITA"" - DM",2017,01 - Scienze matematiche e informatiche
148,Associato,BALDI Annalisa,F,BOLOGNA,,MAT/05,01/A3,Matematica,2017,01 - Scienze matematiche e informatiche
149,Ordinario,BALDI Paolo,M,"ROMA ""Tor Vergata""",,MAT/06,01/A3,Matematica,2017,01 - Scienze matematiche e informatiche
150,Associato,BALDI Pietro,M,Napoli Federico II,,MAT/05,01/A3,"Matematica e Applicazioni ""Renato Caccioppoli""",2017,01 - Scienze matematiche e informatiche
151,Associato confermato,BALDO Sisto,M,VERONA,,MAT/05,01/A3,Informatica,2017,01 - Scienze matematiche e informatiche
152,Ordinario,BALDONI Maria,F,"ROMA ""Tor Vergata""",,MAT/03,01/A2,Matematica,2017,01 - Scienze matematiche e informatiche
153,Associato confermato,BALDONI Matteo,M,TORINO,,INF/01,01/B1,Informatica,2017,01 - Scienze matematiche e informatiche
154,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),BALLAN Lamberto,M,PADOVA,,INF/01,01/B1,"MATEMATICA ""TULLIO LEVI-CIVITA"" - DM",2017,01 - Scienze matematiche e informatiche
155,Ordinario,BALLICO Edoardo,M,TRENTO,,MAT/03,01/A2,Matematica,2017,01 - Scienze matematiche e informatiche
156,Ricercatore,BALLIS Demis,M,UDINE,,INF/01,01/B1,"Scienze Matematiche, Informatiche e Fisiche",2017,01 - Scienze matematiche e informatiche
157,Ordinario,BALSAMO Maria Simonetta,F,"""Ca' Foscari"" VENEZIA",,INF/01,01/B1,"Scienze Ambientali, Informatica e Statistica",2017,01 - Scienze matematiche e informatiche
158,Ricercatore,BALZANO Walter,M,Napoli Federico II,,INF/01,01/B1,Ingegneria Elettrica e delle Tecnologie dell'Informazione,2017,01 - Scienze matematiche e informatiche
159,Ordinario,BAMBUSI Dario Paolo,M,MILANO,,MAT/07,01/A4,Matematica 'Federigo Enriques',2017,01 - Scienze matematiche e informatiche
160,Ordinario,BAMPI Franco,M,GENOVA,,MAT/07,01/A4,"Ingegneria meccanica,energetica,gestionale e dei trasporti (DIME)",2017,01 - Scienze matematiche e informatiche
161,Ricercatore,BANDE Gianluca,M,CAGLIARI,,MAT/03,01/A2,Matematica e Informatica,2017,01 - Scienze matematiche e informatiche
162,Associato confermato,BANDIERI Paola,F,MODENA e REGGIO EMILIA,,MAT/03,01/A2,"Scienze fisiche, informatiche e matematiche",2017,01 - Scienze matematiche e informatiche
163,Ricercatore,BANDINI Andrea,M,PARMA,,MAT/02,01/A2,"Scienze Matematiche, Fisiche e Informatiche",2017,01 - Scienze matematiche e informatiche
164,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),BANDINI Elena,F,MILANO-BICOCCA,,MAT/06,01/A3,MATEMATICA E APPLICAZIONI,2017,01 - Scienze matematiche e informatiche
165,Ordinario,BANDINI Stefania,F,MILANO-BICOCCA,,INF/01,01/B1,"INFORMATICA, SISTEMISTICA E COMUNICAZIONE",2017,01 - Scienze matematiche e informatiche
166,Associato,BARACCO Luca,M,PADOVA,,MAT/05,01/A3,"MATEMATICA ""TULLIO LEVI-CIVITA"" - DM",2017,01 - Scienze matematiche e informatiche
167,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),BARATE' Adriano,M,MILANO,,INF/01,01/B1,INFORMATICA 'GIOVANNI DEGLI ANTONI',2017,01 - Scienze matematiche e informatiche
168,Associato confermato,BARATELLA Paola,F,Politecnico di TORINO,,MAT/08,01/A5,SCIENZE MATEMATICHE Giuseppe Luigi Lagrange,2017,01 - Scienze matematiche e informatiche
169,Ordinario,BARATELLA Stefano,M,TRENTO,,MAT/01,01/A1,Matematica,2017,01 - Scienze matematiche e informatiche
